date,mean_date_no,original_date_no,date_no,sample_id,fish_prey_stage,sample_mg_dm,sample_mg_dm01,site,fish_species,prey_stage
2019-06-06,31.691419141914192,3,-28.691419141914192,14,Cyprinella spiloptera_p,0,0.01,burbank,Cyprinella spiloptera,p
2019-06-07,31.691419141914192,4,-27.691419141914192,15,Notropis blennius_a,0,0.01,gunderson,Notropis blennius,a
2019-06-07,31.691419141914192,4,-27.691419141914192,15,Notropis blennius_l,28.87108985314557,28.88108985314557,gunderson,Notropis blennius,l
2019-06-07,31.691419141914192,4,-27.691419141914192,15,Notropis blennius_p,0,0.01,gunderson,Notropis blennius,p
2019-06-07,31.691419141914192,4,-27.691419141914192,16,Semotilus atromaculatus_a,0,0.01,spirit mound,Semotilus atromaculatus,a
2019-06-07,31.691419141914192,4,-27.691419141914192,16,Semotilus atromaculatus_l,0,0.01,spirit mound,Semotilus atromaculatus,l
2019-06-07,31.691419141914192,4,-27.691419141914192,16,Semotilus atromaculatus_p,0,0.01,spirit mound,Semotilus atromaculatus,p
2019-06-06,31.691419141914192,3,-28.691419141914192,18,Ameiurus melas_a,0,0.01,little bridge,Ameiurus melas,a
2019-06-06,31.691419141914192,3,-28.691419141914192,18,Ameiurus melas_l,12.83159549028692,12.84159549028692,little bridge,Ameiurus melas,l
2019-06-06,31.691419141914192,3,-28.691419141914192,18,Ameiurus melas_p,0.58,0.59,little bridge,Ameiurus melas,p
2019-06-06,31.691419141914192,3,-28.691419141914192,20,Cyprinella spiloptera_a,0,0.01,burbank,Cyprinella spiloptera,a
2019-06-06,31.691419141914192,3,-28.691419141914192,20,Cyprinella spiloptera_l,0,0.01,burbank,Cyprinella spiloptera,l
2019-06-06,31.691419141914192,3,-28.691419141914192,20,Cyprinella spiloptera_p,0,0.01,burbank,Cyprinella spiloptera,p
2019-06-07,31.691419141914192,4,-27.691419141914192,21,Semotilus atromaculatus_a,6.989671690319929,6.9996716903199285,spirit mound,Semotilus atromaculatus,a
2019-06-07,31.691419141914192,4,-27.691419141914192,21,Semotilus atromaculatus_l,3.849478647086076,3.8594786470860756,spirit mound,Semotilus atromaculatus,l
2019-06-07,31.691419141914192,4,-27.691419141914192,21,Semotilus atromaculatus_p,0,0.01,spirit mound,Semotilus atromaculatus,p
2019-06-06,31.691419141914192,3,-28.691419141914192,22,Semotilus atromaculatus_a,0,0.01,little bridge,Semotilus atromaculatus,a
2019-06-06,31.691419141914192,3,-28.691419141914192,22,Semotilus atromaculatus_l,1.283159549028692,1.293159549028692,little bridge,Semotilus atromaculatus,l
2019-06-06,31.691419141914192,3,-28.691419141914192,22,Semotilus atromaculatus_p,0,0.01,little bridge,Semotilus atromaculatus,p
2019-06-06,31.691419141914192,3,-28.691419141914192,23,Cyprinella spiloptera_a,0,0.01,burbank,Cyprinella spiloptera,a
2019-06-06,31.691419141914192,3,-28.691419141914192,23,Cyprinella spiloptera_l,0,0.01,burbank,Cyprinella spiloptera,l
2019-06-06,31.691419141914192,3,-28.691419141914192,23,Cyprinella spiloptera_p,0,0.01,burbank,Cyprinella spiloptera,p
2019-06-07,31.691419141914192,4,-27.691419141914192,24,Notropis blennius_a,0,0.01,gunderson,Notropis blennius,a
2019-06-07,31.691419141914192,4,-27.691419141914192,24,Notropis blennius_l,0,0.01,gunderson,Notropis blennius,l
2019-06-07,31.691419141914192,4,-27.691419141914192,24,Notropis blennius_p,0,0.01,gunderson,Notropis blennius,p
2019-06-06,31.691419141914192,3,-28.691419141914192,25,Lepomis cyanellus_a,0,0.01,little bridge,Lepomis cyanellus,a
2019-06-06,31.691419141914192,3,-28.691419141914192,25,Lepomis cyanellus_l,10.906856166743882,10.916856166743882,little bridge,Lepomis cyanellus,l
2019-06-06,31.691419141914192,3,-28.691419141914192,25,Lepomis cyanellus_p,1.16,1.17,little bridge,Lepomis cyanellus,p
2019-06-07,31.691419141914192,4,-27.691419141914192,26,Lepomis macrochirus_a,0,0.01,gunderson,Lepomis macrochirus,a
2019-06-07,31.691419141914192,4,-27.691419141914192,26,Lepomis macrochirus_l,6.41579774514346,6.42579774514346,gunderson,Lepomis macrochirus,l
2019-06-07,31.691419141914192,4,-27.691419141914192,26,Lepomis macrochirus_p,0,0.01,gunderson,Lepomis macrochirus,p
2019-06-07,31.691419141914192,4,-27.691419141914192,27,Etheostoma nigrum_a,0,0.01,spirit mound,Etheostoma nigrum,a
2019-06-07,31.691419141914192,4,-27.691419141914192,27,Etheostoma nigrum_l,8.340537068686498,8.350537068686497,spirit mound,Etheostoma nigrum,l
2019-06-07,31.691419141914192,4,-27.691419141914192,27,Etheostoma nigrum_p,0,0.01,spirit mound,Etheostoma nigrum,p
2019-06-06,31.691419141914192,3,-28.691419141914192,28,Cyprinella spiloptera_a,0,0.01,burbank,Cyprinella spiloptera,a
2019-06-06,31.691419141914192,3,-28.691419141914192,28,Cyprinella spiloptera_l,0,0.01,burbank,Cyprinella spiloptera,l
2019-06-06,31.691419141914192,3,-28.691419141914192,28,Cyprinella spiloptera_p,0,0.01,burbank,Cyprinella spiloptera,p
2019-06-07,31.691419141914192,4,-27.691419141914192,29,Notropis stramineus_a,0,0.01,spirit mound,Notropis stramineus,a
2019-06-07,31.691419141914192,4,-27.691419141914192,29,Notropis stramineus_l,0,0.01,spirit mound,Notropis stramineus,l
2019-06-07,31.691419141914192,4,-27.691419141914192,29,Notropis stramineus_p,0,0.01,spirit mound,Notropis stramineus,p
2019-06-07,31.691419141914192,4,-27.691419141914192,30,Semotilus atromaculatus_a,0,0.01,spirit mound,Semotilus atromaculatus,a
2019-06-07,31.691419141914192,4,-27.691419141914192,30,Semotilus atromaculatus_l,4.491058421600422,4.501058421600422,spirit mound,Semotilus atromaculatus,l
2019-06-07,31.691419141914192,4,-27.691419141914192,30,Semotilus atromaculatus_p,0.58,0.59,spirit mound,Semotilus atromaculatus,p
2019-06-06,31.691419141914192,3,-28.691419141914192,31,Cyprinella spiloptera_a,0,0.01,burbank,Cyprinella spiloptera,a
